[2015-01-22 19:28:20  - Info ] Inicio test: MON_7 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:20  - Info ] Número de ocurrencias encontradas: 587
[2015-01-22 19:28:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:20  - Info ] Inicio test: MON_8 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:20  - Info ] Número de ocurrencias encontradas: 14729
[2015-01-22 19:28:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:20  - Info ] Inicio test: MON_1 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:28:30  - Info ] Número de ocurrencias encontradas: 242188
[2015-01-22 19:28:30  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:30  - Info ] Inicio test: MON_2 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:28:38  - Info ] Número de ocurrencias encontradas: 756818
[2015-01-22 19:28:38  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:38  - Info ] Inicio test: MON_3 fichero: 1000000.txt en colección: coleccion_1000000
[2015-01-22 19:28:38  - Info ] Número de ocurrencias encontradas: 76116
